,0,1,2,3,4
10,"[421, 276, 512, 267, 32, 135, 221, 96, 83]",0.5,0.5,"{'data_path': './data/', 'year_start': '14', 'year_end': '19', 'dataset': 'community_area', 'train_bool': 1, 'NAME': 'temp', 'version': 'v1', 'epochs': 50, 'batchsize': 32, 'learning_rate': 0.0002, 'dropout': 0.6, 'embed_dim': 50, 'gamma': 0.5, 'alpha': 0.5, 'prob_duplicate': 0.0, 'start': 100, 'end': 115, 'device': 'cpu:0', 'BOOL_LSTM': 0, 'BOOL_CNN': 1, 'OUT_CNN': 0, 'lstm_nodes': 16, 'conv_layers': 3, 'conv_nodes': 16, 'conv_stride': 3, 'embedding_dim': 20, 'dense_out': 64}",No
11,"[421, 276, 512, 267, 32, 135, 221, 96, 83]",0.7039415783076988,0.6815085554861092,"{'data_path': './data/', 'year_start': '14', 'year_end': '19', 'dataset': 'community_area', 'train_bool': 1, 'NAME': 'temp', 'version': 'v1', 'epochs': 50, 'batchsize': 32, 'learning_rate': 2e-05, 'dropout': 0.7, 'embed_dim': 50, 'gamma': 2.5, 'alpha': 2.1, 'prob_duplicate': 0.0, 'start': 100, 'end': 115, 'device': 'cpu:0', 'BOOL_LSTM': 1, 'BOOL_CNN': 1, 'OUT_CNN': 0, 'lstm_nodes': 8, 'conv_layers': 3, 'conv_nodes': 64, 'conv_stride': 3, 'embedding_dim': 20, 'dense_out': 64}",No
12,"[421, 276, 512, 267, 32, 135, 221, 96, 83]",0.8003925513040806,0.8008505665914835,"{'data_path': './data/', 'year_start': '14', 'year_end': '19', 'dataset': 'community_area', 'train_bool': 1, 'NAME': 'temp', 'version': 'v1', 'epochs': 50, 'batchsize': 64, 'learning_rate': 0.002, 'dropout': 0.9, 'embed_dim': 50, 'gamma': 0.75, 'alpha': 0.5, 'prob_duplicate': 0.0, 'start': 100, 'end': 115, 'device': 'cpu:0', 'BOOL_LSTM': 0, 'BOOL_CNN': 1, 'OUT_CNN': 0, 'lstm_nodes': 16, 'conv_layers': 4, 'conv_nodes': 32, 'conv_stride': 5, 'embedding_dim': 20, 'dense_out': 32}",No
13,"[421, 276, 512, 267, 32, 135, 221, 96, 83]",0.8316255256136234,0.8394249843745754,"{'data_path': './data/', 'year_start': '14', 'year_end': '19', 'dataset': 'community_area', 'train_bool': 1, 'NAME': 'temp', 'version': 'v1', 'epochs': 50, 'batchsize': 32, 'learning_rate': 2e-05, 'dropout': 0.6, 'embed_dim': 50, 'gamma': 0.5, 'alpha': 1.3, 'prob_duplicate': 0.0, 'start': 100, 'end': 115, 'device': 'cpu:0', 'BOOL_LSTM': 1, 'BOOL_CNN': 1, 'OUT_CNN': 0, 'lstm_nodes': 16, 'conv_layers': 3, 'conv_nodes': 32, 'conv_stride': 8, 'embedding_dim': 10, 'dense_out': 64}",No
14,"[421, 276, 512, 267, 32, 135, 221, 96, 83]",0.5,0.5,"{'data_path': './data/', 'year_start': '14', 'year_end': '19', 'dataset': 'community_area', 'train_bool': 1, 'NAME': 'temp', 'version': 'v1', 'epochs': 50, 'batchsize': 128, 'learning_rate': 2e-05, 'dropout': 0.6, 'embed_dim': 50, 'gamma': 0.5, 'alpha': 2.1, 'prob_duplicate': 0.0, 'start': 100, 'end': 115, 'device': 'cpu:0', 'BOOL_LSTM': 0, 'BOOL_CNN': 0, 'OUT_CNN': 0, 'lstm_nodes': 12, 'conv_layers': 3, 'conv_nodes': 16, 'conv_stride': 5, 'embedding_dim': 50, 'dense_out': 128}",No
15,"[306, 71, 440, 101, 110, 178, 287, 75, 369, 421]",0.5,0.5,"{'data_path': './data/', 'year_start': '14', 'year_end': '19', 'dataset': 'community_area', 'train_bool': 1, 'NAME': 'temp', 'version': 'v1', 'epochs': 50, 'batchsize': 128, 'learning_rate': 2e-05, 'dropout': 0.7, 'embed_dim': 50, 'gamma': 0.5, 'alpha': 1.9, 'prob_duplicate': 0.0, 'start': 100, 'end': 115, 'device': 'cpu:0', 'BOOL_LSTM': 1, 'BOOL_CNN': 0, 'OUT_CNN': 0, 'lstm_nodes': 8, 'conv_layers': 3, 'conv_nodes': 16, 'conv_stride': 5, 'embedding_dim': 20, 'dense_out': 32}",No
16,"[306, 71, 440, 101, 110, 178, 287, 75, 369, 421]",0.8355475462051045,0.8454169950270387,"{'data_path': './data/', 'year_start': '14', 'year_end': '19', 'dataset': 'community_area', 'train_bool': 1, 'NAME': 'temp', 'version': 'v1', 'epochs': 50, 'batchsize': 32, 'learning_rate': 2e-05, 'dropout': 0.8, 'embed_dim': 50, 'gamma': 0.5, 'alpha': 2.3, 'prob_duplicate': 0.0, 'start': 100, 'end': 115, 'device': 'cpu:0', 'BOOL_LSTM': 1, 'BOOL_CNN': 0, 'OUT_CNN': 0, 'lstm_nodes': 16, 'conv_layers': 2, 'conv_nodes': 32, 'conv_stride': 8, 'embedding_dim': 50, 'dense_out': 32}",No
17,"[313, 231, 25, 15, 407, 120, 460, 319, 88, 129]",0.809364653618876,0.7865793454532279,"{'data_path': './data/', 'year_start': '14', 'year_end': '19', 'dataset': 'community_area', 'train_bool': 1, 'NAME': 'temp', 'version': 'v1', 'epochs': 50, 'batchsize': 64, 'learning_rate': 0.002, 'dropout': 0.8, 'embed_dim': 50, 'gamma': 1, 'alpha': 2.3, 'prob_duplicate': 0.0, 'start': 100, 'end': 115, 'device': 'cpu:0', 'BOOL_LSTM': 1, 'BOOL_CNN': 1, 'OUT_CNN': 0, 'lstm_nodes': 12, 'conv_layers': 3, 'conv_nodes': 32, 'conv_stride': 5, 'embedding_dim': 50, 'dense_out': 128}",No
18,"[306, 71, 440, 101, 110, 178, 287, 75, 369, 421]",0.5385112387019264,0.562768915821988,"{'data_path': './data/', 'year_start': '14', 'year_end': '19', 'dataset': 'community_area', 'train_bool': 1, 'NAME': 'temp', 'version': 'v1', 'epochs': 50, 'batchsize': 128, 'learning_rate': 0.0002, 'dropout': 0.9, 'embed_dim': 50, 'gamma': 1, 'alpha': 2.1, 'prob_duplicate': 0.0, 'start': 100, 'end': 115, 'device': 'cpu:0', 'BOOL_LSTM': 1, 'BOOL_CNN': 0, 'OUT_CNN': 0, 'lstm_nodes': 12, 'conv_layers': 4, 'conv_nodes': 64, 'conv_stride': 3, 'embedding_dim': 10, 'dense_out': 32}",No
19,"[313, 231, 25, 15, 407, 120, 460, 319, 88, 129]",0.7775868572147018,0.759590387419948,"{'data_path': './data/', 'year_start': '14', 'year_end': '19', 'dataset': 'community_area', 'train_bool': 1, 'NAME': 'temp', 'version': 'v1', 'epochs': 50, 'batchsize': 64, 'learning_rate': 2e-05, 'dropout': 0.6, 'embed_dim': 50, 'gamma': 3, 'alpha': 1.3, 'prob_duplicate': 0.0, 'start': 100, 'end': 115, 'device': 'cpu:0', 'BOOL_LSTM': 0, 'BOOL_CNN': 1, 'OUT_CNN': 0, 'lstm_nodes': 16, 'conv_layers': 3, 'conv_nodes': 64, 'conv_stride': 5, 'embedding_dim': 50, 'dense_out': 128}",No
20,"[306, 71, 440, 101, 110, 178, 287, 75, 369, 421]",0.7733016218934663,0.7813119921737004,"{'data_path': './data/', 'year_start': '14', 'year_end': '19', 'dataset': 'community_area', 'train_bool': 1, 'NAME': 'temp', 'version': 'v1', 'epochs': 50, 'batchsize': 64, 'learning_rate': 2e-05, 'dropout': 0.8, 'embed_dim': 50, 'gamma': 0.5, 'alpha': 2.5, 'prob_duplicate': 0.0, 'start': 100, 'end': 115, 'device': 'cpu:0', 'BOOL_LSTM': 1, 'BOOL_CNN': 1, 'OUT_CNN': 0, 'lstm_nodes': 8, 'conv_layers': 3, 'conv_nodes': 32, 'conv_stride': 8, 'embedding_dim': 20, 'dense_out': 64}",No
